"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
87,,-66.57357600e-3,MISO,2,0x01FF,OK
88,,-66.55399200e-3,MOSI,2,0x1A87,OK
89,,-66.55399200e-3,MISO,2,0xFFFF,OK
90,,-66.53440800e-3,MOSI,2,0x8800,OK
91,,-66.53440800e-3,MISO,2,0xFFFF,OK
92,,-66.51501600e-3,MOSI,2,0x0200,OK
93,,-66.51501600e-3,MISO,2,0xFFFF,OK
94,,-66.49543200e-3,MOSI,2,0x9400,OK
95,,-66.49543200e-3,MISO,2,0xFFFF,OK
96,,-66.47604000e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
97,,-66.47604000e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
98,,-66.17748000e-3,MOSI,2,0x9800,OK
99,,-66.17748000e-3,MISO,2,0xF800,OK
100,,-66.15789600e-3,MOSI,2,0x0200,OK
101,,-66.15789600e-3,MISO,2,0x01FF,OK
102,,-66.13850400e-3,MOSI,2,0x087F,OK
103,,-66.13850400e-3,MISO,2,0xFFFF,OK
104,,-66.11892000e-3,MOSI,2,0x1480,OK
105,,-66.11892000e-3,MISO,2,0x0F80,OK
106,,-66.09952800e-3,MOSI,2,0x1A07,OK
107,,-66.09952800e-3,MISO,2,0x07FF,OK
108,,-66.07994400e-3,MOSI,2,0x1226,OK
109,,-66.07994400e-3,MISO,2,0xFFFE,OK
110,,-66.06055200e-3,MOSI,2,0x020C,OK
111,,-66.06055200e-3,MISO,2,0x01FF,OK
112,,-66.04096800e-3,MOSI,2,0x1A87,OK
113,,-66.04096800e-3,MISO,2,0xFFFF,OK
114,,-66.02157600e-3,MOSI,2,0x8800,OK
115,,-66.02157600e-3,MISO,2,0xFFFF,OK
116,,-66.00199200e-3,MOSI,2,0x0200,OK
117,,-66.00199200e-3,MISO,2,0xFFFF,OK
118,,-65.98240800e-3,MOSI,2,0x9400,OK
119,,-65.98240800e-3,MISO,2,0xFFFF,OK
120,,-65.96301600e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
121,,-65.96301600e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
122,,-65.66445600e-3,MOSI,2,0x9800,OK
123,,-65.66445600e-3,MISO,2,0xF800,OK
124,,-65.64506400e-3,MOSI,2,0x0200,OK
125,,-65.64506400e-3,MISO,2,0x01FF,OK
126,,-65.62548000e-3,MOSI,2,0x087F,OK
127,,-65.62548000e-3,MISO,2,0xFFFF,OK
128,,-65.60589600e-3,MOSI,2,0x1480,OK
129,,-65.60589600e-3,MISO,2,0x0F80,OK
130,,-65.58650400e-3,MOSI,2,0x1A07,OK
131,,-65.58650400e-3,MISO,2,0x07FF,OK
132,,-65.56692000e-3,MOSI,2,0x1226,OK
133,,-65.56692000e-3,MISO,2,0xFFFE,OK
134,,-65.54752800e-3,MOSI,2,0x020C,OK
135,,-65.54752800e-3,MISO,2,0x01FF,OK
136,,-65.52794400e-3,MOSI,2,0x1A87,OK
137,,-65.52794400e-3,MISO,2,0xFFFF,OK
138,,-65.50855200e-3,MOSI,2,0x8800,OK
139,,-65.50855200e-3,MISO,2,0xFFFF,OK
140,,-65.48896800e-3,MOSI,2,0x0200,OK
141,,-65.48896800e-3,MISO,2,0xFFFF,OK
142,,-65.46957600e-3,MOSI,2,0x9400,OK
143,,-65.46957600e-3,MISO,2,0xFFFF,OK
144,,-65.44999200e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
145,,-65.44999200e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
146,,-65.15143200e-3,MOSI,2,0x9800,OK
147,,-65.15143200e-3,MISO,2,0xF800,OK
148,,-65.13204000e-3,MOSI,2,0x0200,OK
149,,-65.13204000e-3,MISO,2,0x01FF,OK
150,,-65.11245600e-3,MOSI,2,0x087F,OK
151,,-65.11245600e-3,MISO,2,0xFFFF,OK
152,,-65.09306400e-3,MOSI,2,0x1480,OK
153,,-65.09306400e-3,MISO,2,0x0F80,OK
154,,-65.07348000e-3,MOSI,2,0x1A07,OK
155,,-65.07348000e-3,MISO,2,0x07FF,OK
156,,-65.05389600e-3,MOSI,2,0x1226,OK
157,,-65.05389600e-3,MISO,2,0xFFFE,OK
158,,-65.03450400e-3,MOSI,2,0x020C,OK
159,,-65.03450400e-3,MISO,2,0x01FF,OK
160,,-65.01492000e-3,MOSI,2,0x1A87,OK
161,,-65.01492000e-3,MISO,2,0xFFFF,OK
162,,-64.99552800e-3,MOSI,2,0x8800,OK
163,,-64.99552800e-3,MISO,2,0xFFFF,OK
164,,-64.97594400e-3,MOSI,2,0x0200,OK
165,,-64.97594400e-3,MISO,2,0xFFFF,OK
166,,-64.95655200e-3,MOSI,2,0x9400,OK
167,,-64.95655200e-3,MISO,2,0xFFFF,OK
168,,-64.93696800e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
169,,-64.93696800e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
170,,-64.63840800e-3,MOSI,2,0x9800,OK
171,,-64.63840800e-3,MISO,2,0xF800,OK
172,,-64.61901600e-3,MOSI,2,0x0200,OK
173,,-64.61901600e-3,MISO,2,0x01FF,OK
174,,-64.59943200e-3,MOSI,2,0x087F,OK
175,,-64.59943200e-3,MISO,2,0xFFFF,OK
176,,-64.58004000e-3,MOSI,2,0x1480,OK
177,,-64.58004000e-3,MISO,2,0x0F80,OK
178,,-64.56045600e-3,MOSI,2,0x1A07,OK
179,,-64.56045600e-3,MISO,2,0x07FF,OK
180,,-64.54106400e-3,MOSI,2,0x1226,OK
181,,-64.54106400e-3,MISO,2,0xFFFE,OK
182,,-64.52148000e-3,MOSI,2,0x020C,OK
183,,-64.52148000e-3,MISO,2,0x01FF,OK
184,,-64.50189600e-3,MOSI,2,0x1A87,OK
185,,-64.50189600e-3,MISO,2,0xFFFF,OK
186,,-64.48250400e-3,MOSI,2,0x8800,OK
187,,-64.48250400e-3,MISO,2,0xFFFF,OK
188,,-64.46292000e-3,MOSI,2,0x0200,OK
189,,-64.46292000e-3,MISO,2,0xFFFF,OK
190,,-64.44352800e-3,MOSI,2,0x9400,OK
191,,-64.44352800e-3,MISO,2,0xFFFF,OK
192,,-64.42394400e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
193,,-64.42394400e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
194,,-64.12557600e-3,MOSI,2,0x9800,OK
195,,-64.12557600e-3,MISO,2,0xF800,OK
196,,-64.10599200e-3,MOSI,2,0x0200,OK
197,,-64.10599200e-3,MISO,2,0x01FF,OK
198,,-64.08640800e-3,MOSI,2,0x087F,OK
199,,-64.08640800e-3,MISO,2,0xFFFF,OK
200,,-64.06701600e-3,MOSI,2,0x1480,OK
201,,-64.06701600e-3,MISO,2,0x0F80,OK
202,,-64.04743200e-3,MOSI,2,0x1A07,OK
203,,-64.04743200e-3,MISO,2,0x07FF,OK
204,,-64.02804000e-3,MOSI,2,0x1226,OK
205,,-64.02804000e-3,MISO,2,0xFFFE,OK
206,,-64.00845600e-3,MOSI,2,0x020C,OK
207,,-64.00845600e-3,MISO,2,0x01FF,OK
208,,-63.98906400e-3,MOSI,2,0x1A87,OK
209,,-63.98906400e-3,MISO,2,0xFFFF,OK
210,,-63.96948000e-3,MOSI,2,0x8800,OK
211,,-63.96948000e-3,MISO,2,0xFFFF,OK
212,,-63.94989600e-3,MOSI,2,0x0200,OK
213,,-63.94989600e-3,MISO,2,0xFFFF,OK
214,,-63.93050400e-3,MOSI,2,0x9400,OK
215,,-63.93050400e-3,MISO,2,0xFFFF,OK
216,,-63.91092000e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
217,,-63.91092000e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
218,,-63.61255200e-3,MOSI,2,0x9800,OK
219,,-63.61255200e-3,MISO,2,0xF800,OK
220,,-63.59296800e-3,MOSI,2,0x0200,OK
221,,-63.59296800e-3,MISO,2,0x01FF,OK
222,,-63.57357600e-3,MOSI,2,0x087F,OK
223,,-63.57357600e-3,MISO,2,0xFFFF,OK
224,,-63.55399200e-3,MOSI,2,0x1480,OK
225,,-63.55399200e-3,MISO,2,0x0F80,OK
226,,-63.53440800e-3,MOSI,2,0x1A07,OK
227,,-63.53440800e-3,MISO,2,0x07FF,OK
228,,-63.51501600e-3,MOSI,2,0x1226,OK
229,,-63.51501600e-3,MISO,2,0xFFFE,OK
230,,-63.49543200e-3,MOSI,2,0x020C,OK
231,,-63.49543200e-3,MISO,2,0x01FF,OK
232,,-63.47604000e-3,MOSI,2,0x1A87,OK
233,,-63.47604000e-3,MISO,2,0xFFFF,OK
234,,-63.45645600e-3,MOSI,2,0x8800,OK
235,,-63.45645600e-3,MISO,2,0xFFFF,OK
236,,-63.43706400e-3,MOSI,2,0x0200,OK
237,,-63.43706400e-3,MISO,2,0xFFFF,OK
238,,-63.41748000e-3,MOSI,2,0x9400,OK
239,,-63.41748000e-3,MISO,2,0xFFFF,OK
240,,-63.39789600e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
