"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
100,,46.80001680e-3,MOSI,2,0x087F,OK
101,,46.80001680e-3,MISO,2,0xFFFF,OK
102,,46.81951760e-3,MOSI,2,0x1480,OK
103,,46.81951760e-3,MISO,2,0x0F80,OK
104,,46.83901840e-3,MOSI,2,0x1A07,OK
105,,46.83901840e-3,MISO,2,0x07FF,OK
106,,46.85851920e-3,MOSI,2,0x1226,OK
107,,46.85851920e-3,MISO,2,0xFFFE,OK
108,,46.87802000e-3,MOSI,2,0x020C,OK
109,,46.87802000e-3,MISO,2,0x01FF,OK
110,,46.89752080e-3,MOSI,2,0x9A00,OK
111,,46.89752080e-3,MISO,2,0xFFFF,OK
112,,46.91702160e-3,MOSI,2,0x1AFF,OK
113,,46.91702160e-3,MISO,2,0xFFFF,OK
114,,46.93651600e-3,MOSI,2,0x8800,OK
115,,46.93651600e-3,MISO,2,0xFFFF,OK
116,,46.95601680e-3,MOSI,2,0x0200,OK
117,,46.95601680e-3,MISO,2,0xFE00,OK
118,,46.97551760e-3,MOSI,2,0x9400,OK
119,,46.97551760e-3,MISO,2,0x7FFF,OK
120,,46.99501840e-3,MOSI,2,0x9200,OK
121,,46.99501840e-3,MISO,2,0xF1FF,OK
122,,47.01451920e-3,MOSI,2,0x9800,OK
123,,47.01451920e-3,MISO,2,0xF800,OK
124,,47.03402000e-3,MOSI,2,0x0200,OK
125,,47.03402000e-3,MISO,2,0x01FF,OK
126,,47.05352080e-3,MOSI,2,0x087F,OK
127,,47.05352080e-3,MISO,2,0xFFFF,OK
128,,47.07302160e-3,MOSI,2,0x1480,OK
129,,47.07302160e-3,MISO,2,0x0F80,OK
130,,47.09251600e-3,MOSI,2,0x1A07,OK
131,,47.09251600e-3,MISO,2,0x07FF,OK
132,,47.11201680e-3,MOSI,2,0x1226,OK
133,,47.11201680e-3,MISO,2,0xFFFE,OK
134,,47.13151760e-3,MOSI,2,0x020C,OK
135,,47.13151760e-3,MISO,2,0x01FF,OK
136,,47.15101840e-3,MOSI,2,0x9A00,OK
137,,47.15101840e-3,MISO,2,0xFFFF,OK
138,,47.17051920e-3,MOSI,2,0x1AFF,OK
139,,47.17051920e-3,MISO,2,0xFFFF,OK
140,,47.19002000e-3,MOSI,2,0x8800,OK
141,,47.19002000e-3,MISO,2,0xFFFF,OK
142,,47.20952080e-3,MOSI,2,0x0200,OK
143,,47.20952080e-3,MISO,2,0xFE00,OK
144,,47.22902160e-3,MOSI,2,0x9400,OK
145,,47.22902160e-3,MISO,2,0x7FFF,OK
146,,47.24851600e-3,MOSI,2,0x9200,OK
147,,47.24851600e-3,MISO,2,0xF1FF,OK
148,,47.26801680e-3,MOSI,2,0x9800,OK
149,,47.26801680e-3,MISO,2,0xF800,OK
150,,47.28751760e-3,MOSI,2,0x0200,OK
151,,47.28751760e-3,MISO,2,0x01FF,OK
152,,47.30701840e-3,MOSI,2,0x087F,OK
153,,47.30701840e-3,MISO,2,0xFFFF,OK
154,,47.32651920e-3,MOSI,2,0x1480,OK
155,,47.32651920e-3,MISO,2,0x0F80,OK
156,,47.34602000e-3,MOSI,2,0x1A07,OK
157,,47.34602000e-3,MISO,2,0x07FF,OK
158,,47.36552080e-3,MOSI,2,0x1226,OK
159,,47.36552080e-3,MISO,2,0xFFFE,OK
160,,47.38502160e-3,MOSI,2,0x020C,OK
161,,47.38502160e-3,MISO,2,0x01FF,OK
162,,47.40451600e-3,MOSI,2,0x9A00,OK
163,,47.40451600e-3,MISO,2,0xFFFF,OK
164,,47.42401680e-3,MOSI,2,0x1AFF,OK
165,,47.42401680e-3,MISO,2,0xFFFF,OK
166,,47.44351760e-3,MOSI,2,0x8800,OK
167,,47.44351760e-3,MISO,2,0xFFFF,OK
168,,47.46301840e-3,MOSI,2,0x0200,OK
169,,47.46301840e-3,MISO,2,0xFE00,OK
170,,47.48251920e-3,MOSI,2,0x9400,OK
171,,47.48251920e-3,MISO,2,0x7FFF,OK
172,,47.50202000e-3,MOSI,2,0x9200,OK
173,,47.50202000e-3,MISO,2,0xF1FF,OK
174,,47.52152080e-3,MOSI,2,0x9800,OK
175,,47.52152080e-3,MISO,2,0xF800,OK
176,,47.54102160e-3,MOSI,2,0x0200,OK
177,,47.54102160e-3,MISO,2,0x01FF,OK
